"rider_type","end_station_name","number_of_rides"
"casual","Lincoln Ave & Roscoe St",1185
"casual","Kimball Ave & Belmont Ave",1164
"casual","Rockwell St & Eastwood Ave",1163
"casual","Morgan St & 31st St",1160
"casual","Clark St & Schreiber Ave",1156
"casual","California Ave & Byron St",1148
"casual","Southport Ave & Clark St",1136
"casual","Spaulding Ave & Division St",1121
"casual","Lake Park Ave & 47th St",1118
"casual","Clark St & Lunt Ave",1101
"casual","Lincoln Ave & Winona St",1098
"casual","Greenview Ave & Jarvis Ave",1086
"casual","Washtenaw Ave & Lawrence Ave",1068
"casual","Sheridan Rd & Greenleaf Ave",1053
"casual","Leavitt St & Lawrence Ave",1050
"casual","Oakley Ave & Irving Park Rd",1035
"casual","Western Ave & Congress Pkwy",1033
"casual","Rhodes Ave & 32nd St",1031
"casual","Wolcott Ave & Polk St",1026
"casual","Wentworth Ave & 24th St (Temp)",1023
"casual","Harper Ave & 59th St",1011
"casual","W Armitage Ave & N Sheffield Ave",988
"casual","Racine Ave & Fullerton Ave (Temp)",983
"casual","Christiana Ave & Lawrence Ave",979
"casual","Wilton Ave & Diversey Pkwy*",979
"casual","State St & 35th St",975
"casual","Halsted St & 35th St",965
"casual","Artesian Ave & Hubbard St",949
"casual","Hoyne Ave & Balmoral Ave",938
"casual","Smith Park",938
"casual","Calumet Ave & 33rd St",933
"casual","Avondale Ave & Irving Park Rd",932
"casual","Halsted St & Archer Ave",924
"casual","Wood St & Taylor St (Temp)",921
"casual","Western Ave & Fillmore St",914
"casual","Clark St & Columbia Ave",910
"casual","Paulina St & Howard St",888
"casual","Central Park Ave & North Ave",884
"casual","Indiana Ave & 26th St",882
"casual","Campbell Ave & Montrose Ave",875
"casual","Halsted St & 21st St",867
"casual","Rockwell St & Fletcher St",863
"casual","Ogden Ave & Congress Pkwy",862
"casual","Winchester (Ravenswood) Ave & Balmoral Ave",854
"casual","Lincoln Ave & Belmont Ave",849
"casual","Greenwood Ave & 47th St",847
"casual","Albany Ave & Montrose Ave",838
"casual","Wentworth Ave & 35th St",820
"casual","Keystone Ave & Fullerton Ave",810
"casual","Monticello Ave & Irving Park Rd",794
"casual","Francisco Ave & Foster Ave",779
"casual","Western Ave & Monroe St",772
"casual","Canal St & Harrison St",771
"casual","Cottage Grove Ave & Oakwood Blvd",763
"casual","Eastlake Ter & Rogers Ave",760
"casual","Kedzie Ave & Leland Ave",759
"casual","Wentworth Ave & 33rd St",750
"casual","Cottage Grove Ave & 51st St",722
"casual","Cherry Ave & Blackhawk St",715
"casual","Indiana Ave & 31st St",707
"casual","Hermitage Ave & Polk St",697
"casual","Malcolm X College Vaccination Site",689
"casual","Elston Ave & George St",677
"casual","Broadway & Wilson Ave",672
"casual","Emerald Ave & 28th St",667
"casual","Manor Ave & Leland Ave",658
"casual","N Carpenter St & W Lake St",657
"casual","South Shore Dr & 71st St",654
"casual","Drake Ave & Addison St",650
"casual","Drake Ave & Montrose Ave",650
"casual","MLK Jr Dr & Pershing Rd",648
"casual","Shields Ave & 31st St",642
"casual","N Sheffield Ave & W Wellington Ave",636
"casual","Western Ave & 21st St",636
"casual","Loomis St & Archer Ave",635
"casual","Kedzie Ave & Foster Ave",633
"casual","Bernard St & Elston Ave",632
"casual","Western Ave & Granville Ave",631
"casual","Cottage Grove Ave & 47th St",621
"casual","Prairie Ave & Garfield Blvd",621
"casual","Warren Park West",612
"casual","Cottage Grove Ave & 63rd St",609
"casual","Kedzie Ave & 48th Pl",596
"casual","Leavitt St & Archer Ave",586
"casual","Sawyer Ave & Irving Park Rd",574
"casual","Glenwood Ave & Touhy Ave",573
"casual","Troy St & Grace St",572
"casual","Halsted St & North Branch St",569
"casual","Evanston Civic Center",566
"casual","California Ave & 21st St",565
"casual","Wallace St & 35th St",563
"casual","Ashland Ave & 13th St",559
"casual","Calumet Ave & 35th St",557
"casual","Central St Metra",555
"casual","Woodlawn Ave & Lake Park Ave",551
"casual","Knox Ave & Montrose Ave",550
"casual","Wood St & Webster Ave",547
"casual","Clark St & Touhy Ave",540
"casual","South Shore Dr & 67th St",539
"casual","Budlong Woods Library",538
"casual","Long & Irving Park",538
"casual","Sacramento Blvd & Addison St",533
"casual","Dorchester Ave & 63rd St",532
"casual","Conservatory Dr & Lake St",525
"casual","Kedzie Ave & Chicago Ave",523
"casual","Ogden Ave & Roosevelt Rd",523
